index,date,polarity,subjectivity,image,entities,tweet_1,tweet_2,tweet_3
0,March 23  00:00-06:00,0.019047619,0.128571429,,"{""PERSON"": [""Jake Sullivan"", ""Antony Blinken"", ""Biden"", ""Yang Jiechi""], ""NORP"": [""Chinese""], ""ORG"": [""National Security"", ""Possibly America's"", ""State"", ""EU"", ""Ethiopia &"", ""Abay""], ""LOC"": [""Europe"", ""the Suez Canal"", ""Gulf"", ""Suez Canal""]}","Re: The Alaska talks between China and the US have repercussions for the Gulf and the Suez Canal: US Secretary of State Antony Blinken and National Security Adviser Jake Sullivan have met with Yang Jiechi, the most senior ranking official in the Chinese","When EU talks about Ethiopia & Eritrea, read Egypt/Suez Canal & Refugees. EU‚ main interest in Ethiopia is neither human rights nor democracy.

EU:

1. Wants to stop Ethiopia, construction of Abay dam & help Egypt

2. Fears floods of black refugees turning Europe black","British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it."
1,March 23  06:00-12:00,0.051305591,0.236984428,https://pbs.twimg.com/media/ExAVl3OWUAEaRIx?format=jpg&name=small,"{""PERSON"": [""Freyberg"", ""Nasser"", ""Knowles Carter"", ""Khan"", ""Biden"", ""H.M.T Cameronia"", ""Charles de Gaulle"", ""Canal""], ""NORP"": [""British""], ""ORG"": [""Piraeus"", ""the New Zealander Division"", ""Den Helder"", ""Pak-China friendship(65)and"", ""5th Brigade"", ""Non-Petroleum Ships""], ""LOC"": [""the Strait of Hormuz"", ""the Arabian Gulf"", ""Suez Canal"", ""Mediterranean"", ""the Horn of Africa"", ""the Suez Canal""]}","If the US makes a strategic miscalculation on Taiwan, it will be what the Suez Canal was to the British empire.",We need a Government that thinks the Suez Canal is important.,"""China's Belt and Road Initiative...will [not] be possible if Beijing does not acknowledge US geopolitical supremacy from the Suez Canal to the Arabian Gulf, and it reaches some sort of agreement with Washington about this.""

Umm, yeah, they kind of have?"
2,March 23  12:00-18:00,0.104294966,0.488318671,http://www.maritimebulletin.net/wp-content/uploads/2021/03/EVERGIVENagrnd.jpg,"{""PERSON"": [""Canal"", ""Nasser"", ""Khan"", ""km.151""], ""NORP"": [""British""], ""ORG"": [""the Red Sea Ports Authority"", ""Port Clearance"", ""Update"", ""Pak-China friendship(65)and"", ""UTC""], ""LOC"": [""Suez"", ""Suez Canal"", ""Mediterranean"", ""the Suez Canal"", ""Red   ""]}","(7.8) Billion L.E Tot. Revenue of Suez Canal in Jan- 2021.
#Stat_Egypt #Egypt #Middle_East #Arab_World",Mega container ship hard aground in Suez Canal ,"At 0745 UTC +2 M/V EVER GIVEN ran aground at km.151 in the Suez Canal as part of the northbound convoy. Tug boats are currently trying to re-float the vessel.

The 14 remaining vessels in the northbound convoy have dropped anchor until further instructions."
3,March 23  18:00-24:00,0.063605162,0.653685223,https://pbs.twimg.com/media/ExMbDOmVcAIi7Uo?format=jpg&name=medium,"{""PERSON"": [""km.151"", ""Anthony Eden"", ""Ever Given"", ""White"", ""Seuss"", ""Suez Canal"", ""@Maersk"", ""Julianne Cona"", ""Mitch McConnell"", ""Evergreenlines""], ""NORP"": [""Americans"", ""Egyptians"", ""Russian"", ""Syrians"", ""American"", ""Saudi"", ""Israeli""], ""ORG"": [""Mediterranean &"", ""the Yellow Fleet"", ""@typesfast @BlackstoneVG"",  ""GlobalSystem"", ""the Red Sea Ports Authority"", ""KSA"", ""Evergreen Marine"", ""Sentinel #"", ""@roberttuttle &"", ""Latest"", ""Suez"", ""House"", ""BBC News - Egypt's"", ""Evergree"", ""Suez Canal"", ""Senate"", ""Evergreen"", ""IDK"", ""Port Clearance"", ""Megaship Blocks All Traffic"", ""UTC"", ""Clacket Lane Services""], ""LOC"": [""Africa"", ""Suez"", ""Suez Canal"", ""Big Ben"", ""the Suez"", ""Mediterranean"", ""The Suez Canal"", ""Asia"", ""Horn of Africa"", ""Red Sea"", ""Cape"", ""the Suez Canal"", ""Pacific"", ""Europe""]}","NEW - Suez Canal,  one of the largest shipping lanes on the planet, blocked with a mega container ship, creating a traffic jam of ships waiting in the Mediterranean, Red Sea, and in the canal itself.",You know that feeling when you stall at the lights and hold up traffic? This is a bit like that. A big boat is stuck in the Suez Canal and the queue is quite something.,"Footage of container ships amassing outside the blocked Suez Canal. The last time the canal was closed/blocked was just before the 6-day war.
"
4,March 24  00:00-06:00,0.027407253,0.612394889,https://pbs.twimg.com/media/ExNYQXZUYAIKmSr?format=jpg&name=medium,"{""PERSON"": [""Evergreen Mega"", ""Ever Green"", ""Anthony Eden"", ""George Segal"", ""Mitch McConnell"", ""Evergreenlines"", ""Matt Gaetz"", ""Backlog Me"", ""Sobieski"", ""Suez-Max"", ""Rod Wave"", ""@RebelLoki"", ""Suez Canal"", ""Capsule - Javaica Recipes"", ""Eisenhower"", ""Tony Bradley"", ""Paul Wall's"", ""Someone Austin"", ""Lenin"", ""@Quasarcasm47""], ""NORP"": [""Taiwanese"", ""Russian"", ""Egyptian"", ""@Pixelfish"", ""Panamanian"", ""Polish"", ""Saudi"", ""Americans"", ""English""], ""ORG"": [""Mediterranean &"", ""Enron"", ""EVERGIVEN"", ""EVERGREEN"", ""EverGiven"", ""The Ever Green"", ""Evergiven"", ""BBC News"", ""HRC‚Äôs"", ""Wild Red Mimosa Pudica"", ""Suez Canal Blockage Set"", ""SuezCanal"", ""GIANT"", ""Shipbuilding Industry Prospering"", ""WIDEN THE GODDAMN SUEZ CANAL"", ""Maersk Denver"", ""TIL"", ""Suez Canal Clogged"", ""the Cinnamon Toast Crunch"", ""KSA"", ""@Agortitz"", ""Ripple Through Global Energy Market"", ""Evergreen Marine"", ""Suez Canal &"", ""the Suez Canal Authority"", ""Canal"", ""Global Supply Chain Hit"", ""Marine Academy"", ""Latest"", ""BreakingNews"", ""@roberttuttle &"", ""AIS"", ""House"", ""Gigantic"", ""Amazon"", ""Senate"", ""Evergreen"", ""Suez Canal"", ""Suez Canal Blockage After Demand-Driven Sell-Off -   "", ""Evergreen Marine Corp"", ""Mariners"", ""GIF"", ""ShrimpGate"", ""Suez Canal Traffic Block"", ""@Maersk"", ""An EVERGREEN SHIPPING CONTAINER"", ""Cinnamon Toast Crunch"", ""Suez Canal @Wikipedia"", ""Leaked""], ""LOC"": [""Africa"", ""East"", ""Elbe River"", ""Suez"", ""Brexit Britain's"", ""Nile"", ""Suez Canal"", ""Earth"", ""Mediterranean"", ""Asia-Europe"", ""the Suez Canal‚Äô"", ""Horn of Africa"", ""Red Sea"", ""Oil Swings"", ""the Suez Canal""]}","There's plenty that's awful about Twitter, but, sometimes, you're curious about a very specific thing you know nothing about like that giant ship blocking the Suez canal and, lucky for you, in the replies there's a United States Merchant Marine Academy professor explaining it. --> Referenced Explanation --> ""Looking at her track, she was @ 13.5 knots when she hit, which is over the 8 knot speed limit, although it can be waived by the pilot. If she had a steering or engine failure, that would explain the event.
Her bow is hard aground & up high.  They will have to pull from the stern.""","If you think youre having a bad day, spare a thought for the helmsman who somehow managed to stick his giantass ship sideways into the goddamn Suez Canal; blocked it into literal gridlock; is currently costing every seafaring nation of Earth like millions of dollars every hour ","So, the #SuezCanal is blocked...

Massive container ship EVER GIVEN stuck in the most awkward way possible.

Ongoing for hours.  Every tug Egypt could spare appear to be trying to pull it free."
5,March 24  06:00-12:00,0.005452363,0.604632019,https://ichef.bbci.co.uk/news/976/cpsprodpb/E0B9/production/_117692575_evergreen_ship_diagram_x2_640-nc-002.png,"{""PERSON"": [""Ever Given"", ""Netanyahu"", ""Marc Rich"", ""Evergreen Cargo"", ""Suez Canal"", ""Rotterdam"", ""Sisi"", ""Container Ship Gets"", ""Canal"", ""Wish"", ""Lough Atalia"", ""Jeff Hendrick"", ""Hillary Clintons"", ""Port Said""], ""NORP"": [""THREAD"", ""Eurasian"", ""Taiwanese"", ""republicans"", ""Russian"", ""Egyptian"", ""Panamanian"", ""Iranian"", ""European"", ""Saudi"", ""Israeli""], ""ORG"": [""Mediterranean &"", ""The World for Sale"", ""the Evergreen Fleet"", ""Huge Container Ship Involuntarily Blocks Suez Canal"", ""EVERGIVEN"", ""Suez Canal Authority"", ""Sumed"", ""Evergiven"", ""Navigation"", ""Evergreen Marine's"", ""Suez Canal Blockage"", ""SuezCanal"", ""THE CRASH SITE"", ""Justice"", ""ULCS"", ""HRCs Secret Service"", ""TimPeel"", ""Strong European Data"", ""KSA"", ""Evergreen Marine"", ""Suez Canal &"", ""Evergreen Line"", ""Canal"", ""Jack Lynch Tunnel"", ""Reopens"", ""GAC"", ""Ashkelon-Eilat"", ""Guardian"", ""Shell"", ""Latest"", ""RodWave"", ""the Eiffel Tower"", ""@roberttuttle &"", ""Suez"", ""StupidAnalogues"", ""The El Ferdan Railway Bridge"", ""AIS"", ""@kuku27 Huge"", ""Suez Canal"", ""Evergreen"", ""Topanga"", ""One"", ""BBC"", ""RoadWatch"", ""Bank of the #"", ""@Yahoo"", ""TL"", ""BLOCKED"", ""Cargo"", ""RIP"", ""Leaked""], ""LOC"": [""Asia"", ""The Suez Canal"", ""Mideast"", ""North"", ""the Red Sea"", ""Horn of Africa"", ""Red Sea"", ""#Asia"", ""Hoping Europe"", ""Suez"", ""Suez Canal Blocked"", ""Suez Canal"", ""Earth"", ""Mediterranean"", ""Africa"", ""East"", ""the Med Sea"", ""the Suez Canal"", ""Europe"", ""#Suez""]}","Not something you see everyday, already affecting oil markets. BBC report on the traffic jam in Suez Canal ",The Suez Canal is a key artery of the global economy. App 10% of global trade passes though it. But now it‚ it's blocked by a huge container ship. It was heading for Rotterdam. Tugs are working intensely to free up the canal. ,why does everyone woman I know instantly and powerfully identify with the container ship blocking the Suez Canal
6,March 24  12:00-18:00,-0.019556652,0.567850931,https://pbs.twimg.com/media/ExPglKgWEAQV_U0?format=jpg&name=medium,"{""PERSON"": [""Stephen Donnelly"", ""Brian Lilley's"", ""Daniel Blackstone"", ""Adams Morgan"", ""@Theothebald"", ""Chang Evergreen"", ""Austin Powers"", ""Grant Shapps"", ""Twitter"", ""Gamal Abdel Nasser's"", ""Mitch McConnell"", ""Jim GW"", ""Hillary"", ""Ty Pennington"", ""LARGEST"", ""Biden"", ""Karl Marx"", ""Tigray"", ""Tesla"", ""Shooter"", ""Harris"", ""Johnson"", ""Suez Canal"", ""Rotterdam"", ""Osama Rabie"", ""Richard Meade"", ""Clintons"", ""Ever Given"", ""Paul Stanley"", ""Hillary Clinton's"", ""Dan Snyder"", ""Cargo""], ""NORP"": [""Marxists"",  ""@planetlabs"", ""@LloydsList"", ""Bahraini""], ""ORG"": [""Mediterranean &"", ""HRC"", ""EVERGREEN"", ""Suez Canal Authority"", ""EVERGIVEN"", ""SuezCanal"", ""Tokyo Drift"", ""ULCS"", ""NEW"", ""Ford"", ""#VIDEO Large"", ""Bitcoin #"", ""the Sitmar Line's"", ""Traffic"", ""UPDATE Tug"", ""Merkel Red"", ""NSFW"", ""KSA"", ""Lloyd's List"", ""Suez Canal &"", ""GMT"", ""the Suez Canal Authority"", ""WeChat"", ""Canal"", ""GAC"", ""Giant"", ""The Block #Mimi"", ""Latest"", ""CTS"", ""Suez"", ""the Eiffel Tower"", ""Traffic Can't Pass"", ""RISE"", ""AIS"", ""Army"", ""Amazon Malala"", ""Gigantic"", ""Amazon"", ""Suez Canal"", ""Evergreen"", ""BBC News -"", ""FILL"", ""One"", ""@mercoglianos"", ""Clumsy"", ""Rory"", ""the #Suez Canal"", ""Bank of the #"", ""Parallel Parking"", ""@davidhorovitz"", ""TSMC &"", ""QAnon"", ""Suez Canal (Planet Labs"", ""Ships Carrying Commodities Stuck"", ""The Ultra Large Container Ship"", ""Cargo"", ""UN"", ""Lebanon's"", ""CTW""], ""LOC"": [""Asia"", ""The Suez Canal"", ""the Suez   "", ""the Red Sea"", ""Regina"", ""Horn of Africa"", ""Red Sea"", ""the Eifel Tower"", ""the Suez   Suez Canal"", ""Suez"", ""Suez Canal"", ""Earth"", ""Mediterranean"", ""Africa"", ""the Sinai Peninsula"", ""the Suez   Satellite"", ""Oil"", ""the Suez Canal"", ""Europe""]}",We're about five minutes away from Stephen Donnelly announcing that all of our vaccines were being stored on the big ship stuck in the Suez Canal for some reason.,Update: Salvors have partially re-floated Ever Given and Suez Canal authorities are pledging that convoy and traffic will be back to normal within [a] very short time.,I really like the Suez Canal story because so far we're basically all on the same page - this is bad but also kind of funny - and as far as I know no one has yet found an angle for shipping discourse.
7,March 24  18:00-24:00,0.018543043,0.552960935,https://pbs.twimg.com/semantic_core_img/1376415976174985226/owLLWYVH?format=jpg&name=900x900,"{""PERSON"": [""David Dobrik"", ""Austin Powers"", ""Grant Shapps"", ""Sean Maitland"", ""Hillary Clinton"", ""Microsoft Tesla"", ""Suez Canal"", ""Bitcoin"", ""Dr Sal Mercogliano"", ""Suez Canal"", ""Rep Norman"", ""Karl Marx Bill Clinton"", ""AZ Vaccine"", ""Deja Vu"", ""Ever Given"", ""Ben Adryl"", ""Spelling Bee"", ""Bob"", ""Biden Prez""], ""NORP"": [""Egyptian"", ""Dutch""], ""ORG"": [""Crown"", ""EVERGIVEN"", ""THE WORLD'S TRADE GOES THROUGH THE CANAL"", ""Videos"", ""Ships"", ""SuezCanal"", ""Oxford"", ""Blocked - News &"", ""Guts Media"", ""Flem Candango"", ""WIDEN THE GODDAMN SUEZ CANAL"", ""Evergreen Marine Corp's"", ""the Ever Globe"", ""Minute"", ""The World"", ""Suez Canal &"", ""FBI"", ""@nameshiv"", ""Giant"", ""Sinn Fein"", ""GAC"", ""HMS Howe"", ""Latest"", ""Suez"", ""Jackass"", ""BBC News - Egypt's"", ""the British Pacific Fleet"", ""QAnon Claims Stuck Suez Canal Ship"", ""Suez Canal"", ""Satellite Imagery"", ""Evergreen"", ""Suez Canal STILL"", ""BBC"", ""the #Suez Canal"", ""#GlobalSupplyChains"", ""Fast &"", ""YM Fountain"", ""Sport Golf MLB Boston"", ""QAnon"", ""Netflix"", ""Aircraft Carrier"", ""Fox/Newsmax/Trump"", ""Cargo"", ""Rails"", ""NFT"", ""Traffic Children - Newsweek""], ""LOC"": [""the Suez Canal Forgive"", ""the Suez   Photos"", ""Suez"", ""Suez Canal Blocked"", ""the Suez Suez Canal"", ""Suez Canal"", ""Earth"", ""the Suez   "", ""Mediterranean"", ""the Southern Hemisphere"", ""Asia"", ""The Suez Canal"", ""the Red Sea"", ""Red Sea"", ""the Suez   AM news"", ""the Suez Canal"", ""Europe""]}","When one channel is blocked, guess what happens? Everyone waits - true in the Suez Canal, true in contact centers.",just to reiterate: about 10 percent of world trade has been at a standstill for 2 days because a cargo ship drew a giant dick in the Red Sea then wedged itself sideways in the Suez Canal,have we tried petitioning to get the boat unstuck from the Suez Canal?
8,March 25  00:00-06:00,0.000723532,0.533661889,https://pbs.twimg.com/media/ExPys8QW8AETRLM?format=jpg&name=900x900,"{""PERSON"": [""Samir"", ""Brexit"", ""Add Newsweek"", ""Austin Powers"", ""Ezzat Adel"", ""Skyscraper"", ""THERES SPACE"", ""Stuck"", ""Canal"", ""Joe Flacco"", ""Stranded Japanese-Owned"", ""@SpeakingSatan"", ""Baby Jessica"", ""Suez Canal"", ""@lib_crusher"", ""Lookout Guy"", ""Crew"", ""Chris Grayling"", ""Ted Cruz"", ""ü§î"", ""Bill Clinton"", ""Bernhard Schulte Shipmanagement"", ""Stacey Abrams's"", ""RV"", ""Lieutenant Dan""], ""NORP"": [""THREAD"", ""French"", ""Taiwanese"", ""Egyptians"", ""American"", ""Egyptian"", ""German"", ""Palestinians"", ""British""], ""ORG"": [""Mediterranean &"", ""Honda"", ""Lowry"", ""EVERGIVEN"", ""Suez Canal Authority"", ""NBA"", ""Navigation"", ""SuezCanal"", ""Nike"", ""Global Market Update Follow the Link Below For the Complete Story"", ""WIDEN THE GODDAMN SUEZ CANAL"", ""THREAD"", ""Another Suez Canal Authority"", ""Cargo Ship EVERGREEN"", ""AAA"",""Evergreen Marine"", ""Suez Canal &"", ""Canal"", ""Giant"", ""Global-Market Cues"", ""Suez"", ""Jimmy Fallon Pities the Suez Canal"", ""AIS"", ""Samsung"", ""Amazon"", ""Satellite Imagery"", ""Evergreen"", ""Suez Canal Traffic Snarled After Megamax Boxship"", ""SpongeBob"", ""Factbox"", ""Lloyds List"", ""the #Suez Canal"", ""TSMC &"", ""Joburg"", ""BSM"", ""BLOCKED"", ""@nzherald Satellite"", ""MIL"", ""Cargo"", ""UN"", ""Jimmy Fallon""], ""LOC"": [""Stranded Suez"", ""Asia"", ""the Suez   Tension"", ""Atlantic"", ""The Suez Canal"", ""the Indian Ocean"", ""the Suez   "", ""the Suez   Stranded Suez"", ""the Red Sea"", ""Horn of Africa"", ""Red Sea"", ""Suez"", ""Suez Canal Blocked"", ""Suez Canal"", ""Earth"", ""Mediterranean"", ""Africa"", ""the Suez Canal Forgive"", ""the Suez"", ""the Suez Canal"", ""Europe""]}",it's probably very unpleasant and embarrassing to block the suez canal by accident but imagine how powerful you would feel if you did it on purpose,just to reiterate: about 10 percent of world trade has been at a standstill for 2 days because a cargo ship drew a giant dick in the Red Sea then wedged itself sideways in the Suez Canal,it's probably worth noting that whoever stuck that boat in the suez canal probably did more damage to capitalism than the last couple decades of anti-capitalist protests
9,March 25  06:00-12:00,0.027683786,0.527764985,https://storage.googleapis.com/afs-prod/media/c74fd03bd5264adcbf173061fe7b823b/1000.jpeg,"{""PERSON"": [""Clinton"", ""Grant Shapps"", ""Austin Powers"", ""Mitch McConnell"", ""Hillary Clinton"", ""Outer Ring Road"", ""Covid"", ""Nick Sloane"", ""Skyscraper"", ""Michael Joseph"", ""al"", ""Biden"", ""John Lewis"", ""Stuck"", ""Canal"", ""Oscar"", ""Container Ship - YouTube"", ""App Sample"", ""Hancock"", ""Unstick"", ""Bojo"", ""JeffHK"", ""Suez Canal Blocked"", ""Leth Agencies"", ""Suez Canal"", ""Rotterdam"", ""Ever Given"", ""Beloveds"", ""Nasser"", ""Stacey Abrams's"", ""Greed"", ""Stephen Colbert Spins""], ""NORP"": [""Chinese"", ""Taiwanese"", ""French"", ""Dutch"", ""Egyptians"", ""@MikkelsenDean"", ""Capitalism"", ""Egyptian"", ""Republicans"", ""Middle Eastern"", ""Japanese"", ""Panamanian"", ""@LloydsList"", ""British"", ""Arabs"", ""Arab"", ""Israeli""], ""ORG"": [""UK &"", ""Lowry"", ""BugsBunnychallenge"", ""OXY"", ""Suez Canal Authority"", ""EVERGIVEN"", ""ITE"", ""The Egyptian Suez Canal Authority"", ""NBA"", ""Vessels"", ""TIM"", ""the SuezCanal Authority"", ""Inshallah"", ""Evergiven"", ""UST"", ""SuezCanal"", ""NEWEST"", ""Fed Speakers - Suez Canal"", ""WIDEN THE GODDAMN SUEZ CANAL"", ""THREAD"", ""BBNaija"", ""Ancestors"", ""the US Navy"", ""TIL"", ""BOE"", ""Oil Falls"", ""EVER GIVEN"", ""LNG"", ""KSA"", ""Smit"", ""Oil Up"", ""Al Jazeera"", ""Suez Canal &"", ""the Suez Canal Authority"", ""SC"", ""Giant"", ""The Suez Canal Container Ship Drifting World Championship"", ""The Suez-Canal"", ""Eurasian Land Route"", ""BreakingNews"", ""Suez"", ""the Eiffel Tower"", ""Suez Canal Timelapse | Life at Sea on"", ""Suez Canal"", ""Evergreen"", ""Satellite Imagery"", ""#SuezCanal authority"", ""SCA"", ""Cat Vibing To Ievan Polkka"", ""Anthony Eden &"", ""RutoSpeaks"", ""Clumsy"", ""USD"", ""MRO"", ""UPDATE"", ""APP"", ""Joburg"", ""QAnon"", ""LOGO"", ""Tinubu Suez Canal"", ""Cargo"", ""The #SuezCanal Authority"", ""Airtel/Telkom"", ""Royal Marine Commando"", ""SPY $"", ""Evergreen Marine Corp."", ""the Maritime Museum"", ""Suez Canal""], ""LOC"": [""the Suez   Tugs"", ""Black"", ""Asia"", ""Atlantic"", ""the Suez   Me"", ""the Indian Ocean"", ""the Suez   "", ""the Red Sea"", ""Red Sea"", ""Suez"", ""the Suez"", ""the Suez   Clients"", ""Suez Canal"", ""Earth"", ""Mediterranean"", ""a Middle East"", ""Africa"", ""East"", ""Suez Canal - Evergreen"", ""Arctic Sea Route"", ""the Suez   Men"", ""the Suez Canal"", ""the Sini Peninsula"", ""Europe""]}","BREAKING: Japanese owner of cargo ship stuck in Suez Canal apologizes over incident that""s halted traffic on crucial waterway.","A skyscraper-sized cargo ship wedged across Egypt's Suez Canal further imperiled global shipping as at least 150 other vessels needing to pass through the crucial waterway idled waiting for the obstruction to clear, authorities say.","The world is divided between two irreconcilable groups - those who hear the Suez Canal is blocked by a stuck ship and think it's a potential economic disaster / failure of Western policy / symbol of environmental chaos, and those who think it""s funny."
