,author_id,created_at,lang,id,public_metrics_like_count,public_metrics_retweet_count,public_metrics_reply_count,referenced_tweets_type,referenced_tweets_id,text,tweet_block
0,285463237,2021-03-23T04:31:27.000Z,en,1.37E+18,1,0,1,replied_to,1.37E+18,"@lordjackass4u @descripticon @ziruchang Possibly America's Suez Canal moment:
https://t.co/U7GGYdE9Zi",0
1,1.37E+18,2021-03-23T04:36:46.000Z,en,1.37E+18,0,5,0,retweeted,1.37E+18,"When EU talks about Ethiopia &amp; Eritrea, read Egypt/Suez Canal &amp; Refugees. EU’s main interest in Ethiopia is neither human rights nor democracy.

EU:

1. Wants to stop Ethiopia’s construction of Abay (“Nile”) dam &amp; help Egypt

2. Fears floods of black refugees turning Europe black https://t.co/UIfF4WmkiF",0
4,465671507,2021-03-23T05:40:34.000Z,en,1.37E+18,0,0,0,,,"Re: The Alaska talks between China and the US have repercussions for the Gulf and the Suez Canal: US Secretary of State Antony Blinken and National Security Adviser Jake Sullivan have met with Yang Jiechi, the most senior ranking official in the Chinese… https://t.co/FxeHapq9MH",0
5,81582883,2021-03-23T05:55:00.000Z,en,1.37E+18,106,20,0,,,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it.",0
6,1.22E+18,2021-03-23T05:55:08.000Z,en,1.37E+18,0,20,0,retweeted,1.37E+18,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it.",0
7,1.23E+18,2021-03-23T05:55:19.000Z,en,1.37E+18,0,20,0,retweeted,1.37E+18,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it.",0
8,1.13E+18,2021-03-23T05:56:07.000Z,en,1.37E+18,0,20,0,retweeted,1.37E+18,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it.",0
9,1.25E+18,2021-03-23T05:56:30.000Z,en,1.37E+18,0,20,0,retweeted,1.37E+18,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it.",0
10,1394164196,2021-03-23T05:56:46.000Z,en,1.37E+18,0,20,0,retweeted,1.37E+18,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it.",0
11,984632976,2021-03-23T05:57:55.000Z,en,1.37E+18,0,20,0,retweeted,1.37E+18,"British Empire ended when it lost the Suez Canal.

Now, a Taiwan Crisis May Mark the End of the American Empire.

America is a diplomatic fox, while Beijing is a hedgehog fixated on the big idea of reunification.

This is why Quad has to succeed, but Biden will not let it.",0
